Username,Datetime,Tweet,Clean,Tokenization,Lowercase,Normalize,Stopword,Hasil
yurandafachri,2023-03-29 15:28:21+00:00,"Setelah FIFA WORLD CUP U-20 Batal digelar Di Indonesia:
- Indonesia gagal tampil di World Cup U-20
- Indonesia bisa saja batal tampil di Piala Asia 2023
- Israel tetap tampil di FIFA World Cup U-20
- Israel Tetap ""menjajah"" Palestina

Pada akhirnya Indonesia tetap akan jadi badut",Setelah FIFA WORLD CUP Batal digelar Di Indonesia Indonesia gagal tampil di World Cup Indonesia bisa saja batal tampil di Piala Asia  Israel tetap tampil di FIFA World Cup Israel Tetap menjajah Palestina Pada akhirnya Indonesia tetap akan jadi badut,"['Setelah', 'FIFA', 'WORLD', 'CUP', 'Batal', 'digelar', 'Di', 'Indonesia', 'Indonesia', 'gagal', 'tampil', 'di', 'World', 'Cup', 'Indonesia', 'bisa', 'saja', 'batal', 'tampil', 'di', 'Piala', 'Asia', 'Israel', 'tetap', 'tampil', 'di', 'FIFA', 'World', 'Cup', 'Israel', 'Tetap', 'menjajah', 'Palestina', 'Pada', 'akhirnya', 'Indonesia', 'tetap', 'akan', 'jadi', 'badut']",setelah fifa world cup batal digelar di indonesia indonesia gagal tampil di world cup indonesia bisa saja batal tampil di piala asia israel tetap tampil di fifa world cup israel tetap menjajah palestina pada akhirnya indonesia tetap akan jadi badut,"['setelah', 'fifa', 'world', 'cup', 'batal', 'digelar', 'di', 'indonesia', 'indonesia', 'gagal', 'tampil', 'di', 'world', 'cup', 'indonesia', 'bisa', 'saja', 'batal', 'tampil', 'di', 'piala', 'asia', 'israel', 'tetap', 'tampil', 'di', 'fifa', 'world', 'cup', 'israel', 'tetap', 'menjajah', 'palestina', 'pada', 'akhirnya', 'indonesia', 'tetap', 'akan', 'jadi', 'badut']","['fifa', 'world', 'cup', 'batal', 'digelar', 'indonesia', 'indonesia', 'gagal', 'tampil', 'world', 'cup', 'indonesia', 'batal', 'tampil', 'piala', 'asia', 'israel', 'tampil', 'fifa', 'world', 'cup', 'israel', 'menjajah', 'palestina', 'indonesia', 'badut']",fifa world cup batal digelar indonesia indonesia gagal tampil world cup indonesia batal tampil piala asia israel tampil fifa world cup israel menjajah palestina indonesia badut
AnnajaThoriq,2023-03-29 15:28:12+00:00,"Plot twist sekali, setelah pak ET dateng langsung ke swiss markasnya fifa, kirain bakalan membawa kabar positif
Tibak'e pildun U-20 batal digelar di indonesia 😂",Plot twist sekali setelah pak ET dateng langsung ke swiss markasnya fifa kirain bakalan membawa kabar positif Tibak e pildun batal digelar di indonesia,"['Plot', 'twist', 'sekali', 'setelah', 'pak', 'ET', 'dateng', 'langsung', 'ke', 'swiss', 'markasnya', 'fifa', 'kirain', 'bakalan', 'membawa', 'kabar', 'positif', 'Tibak', 'e', 'pildun', 'batal', 'digelar', 'di', 'indonesia']",plot twist sekali setelah pak et dateng langsung ke swiss markasnya fifa kirain bakalan membawa kabar positif tibak e pildun batal digelar di indonesia,"['plot', 'twist', 'sekali', 'setelah', 'pak', 'et', 'dateng', 'langsung', 'ke', 'swiss', 'markasnya', 'fifa', 'kirain', 'akan', 'membawa', 'kabar', 'positif', 'tibak', 'e', 'piala', 'dunia', 'batal', 'digelar', 'di', 'indonesia']","['plot', 'twist', 'et', 'dateng', 'swiss', 'markasnya', 'fifa', 'kirain', 'membawa', 'kabar', 'positif', 'tibak', 'piala', 'dunia', 'batal', 'digelar', 'indonesia']",plot twist et dateng swiss markasnya fifa kirain membawa kabar positif tibak piala dunia batal digelar indonesia
sunggal24_medan,2023-03-29 15:27:46+00:00,"FIFA :
Indonesia resmi batal menjadi tuan rumah Piala Dunia U-20.
Tuan rumah pengganti akan diumumkan kemudian. https://t.co/2eQpkgAIkZ",FIFA Indonesia resmi batal menjadi tuan rumah Piala Dunia Tuan rumah pengganti akan diumumkan kemudian,"['FIFA', 'Indonesia', 'resmi', 'batal', 'menjadi', 'tuan', 'rumah', 'Piala', 'Dunia', 'Tuan', 'rumah', 'pengganti', 'akan', 'diumumkan', 'kemudian']",fifa indonesia resmi batal menjadi tuan rumah piala dunia tuan rumah pengganti akan diumumkan kemudian,"['fifa', 'indonesia', 'resmi', 'batal', 'menjadi', 'tuan', 'rumah', 'piala', 'dunia', 'tuan', 'rumah', 'pengganti', 'akan', 'diumumkan', 'kemudian']","['fifa', 'indonesia', 'resmi', 'batal', 'tuan', 'rumah', 'piala', 'dunia', 'tuan', 'rumah', 'pengganti', 'diumumkan']",fifa indonesia resmi batal tuan rumah piala dunia tuan rumah pengganti diumumkan
thegarnis,2023-03-29 15:27:29+00:00,"Piala Dunia U-20 Batal digelar di Indonesia
Hokky pun kecewa dan hokky kembali jualan siomay

#FIFA #Indonesia #WorldCupU20",Piala Dunia Batal digelar di Indonesia Hokky pun kecewa dan hokky kembali jualan siomay FIFA Indonesia WorldCup,"['Piala', 'Dunia', 'Batal', 'digelar', 'di', 'Indonesia', 'Hokky', 'pun', 'kecewa', 'dan', 'hokky', 'kembali', 'jualan', 'siomay', 'FIFA', 'Indonesia', 'WorldCup']",piala dunia batal digelar di indonesia hokky pun kecewa dan hokky kembali jualan siomay fifa indonesia worldcup,"['piala', 'dunia', 'batal', 'digelar', 'di', 'indonesia', 'hokky', 'pun', 'kecewa', 'dan', 'hokky', 'kembali', 'jualan', 'siomay', 'fifa', 'indonesia', 'worldcup']","['piala', 'dunia', 'batal', 'digelar', 'indonesia', 'hokky', 'kecewa', 'hokky', 'jualan', 'siomay', 'fifa', 'indonesia', 'worldcup']",piala dunia batal digelar indonesia hokky kecewa hokky jualan siomay fifa indonesia worldcup
adawartacom,2023-03-29 15:26:48+00:00,"BREAKING NEWS! 
Piala Dunia U-20 Batal di Indonesia, Exco PSSI Beri Kode  Patah Hati Semoga Tak Disanksi FIFA https://t.co/wRfIM0HIME",BREAKING NEWS Piala Dunia Batal di Indonesia Exco PSSI Beri Kode Patah Hati Semoga Tak Disanksi FIFA,"['BREAKING', 'NEWS', 'Piala', 'Dunia', 'Batal', 'di', 'Indonesia', 'Exco', 'PSSI', 'Beri', 'Kode', 'Patah', 'Hati', 'Semoga', 'Tak', 'Disanksi', 'FIFA']",breaking news piala dunia batal di indonesia exco pssi beri kode patah hati semoga tak disanksi fifa,"['breaking', 'news', 'piala', 'dunia', 'batal', 'di', 'indonesia', 'exco', 'pssi', 'beri', 'kode', 'patah', 'hati', 'semoga', 'tidak', 'disanksi', 'fifa']","['breaking', 'news', 'piala', 'dunia', 'batal', 'indonesia', 'exco', 'pssi', 'kode', 'patah', 'hati', 'semoga', 'disanksi', 'fifa']",breaking news piala dunia batal indonesia exco pssi kode patah hati semoga disanksi fifa
CNNIndonesia,2023-03-29 15:25:44+00:00,Pernyataan Lengkap FIFA Soal Piala Dunia U-20 Batal di Indonesia https://t.co/xHj1dMBr2c,Pernyataan Lengkap FIFA Soal Piala Dunia Batal di Indonesia,"['Pernyataan', 'Lengkap', 'FIFA', 'Soal', 'Piala', 'Dunia', 'Batal', 'di', 'Indonesia']",pernyataan lengkap fifa soal piala dunia batal di indonesia,"['pernyataan', 'lengkap', 'fifa', 'soal', 'piala', 'dunia', 'batal', 'di', 'indonesia']","['pernyataan', 'lengkap', 'fifa', 'piala', 'dunia', 'batal', 'indonesia']",pernyataan lengkap fifa piala dunia batal indonesia
AsepHen30993323,2023-03-29 15:25:34+00:00,"Indonesia resmi batal jadi tuan rumah Piala Dunia U-20.

Melalui laman resminya, FIFA menjelaskan keputusan diambil setelah Ketum PSSI, Erick Thohir, bertemu dengan Presiden FIFA, Gianni Infantino.

FIFA juga tak menutup kemungkinan ada sanksi bagi Indonesia di masa mendatang. https://t.co/NHJ7oGunEa",Indonesia resmi batal jadi tuan rumah Piala Dunia Melalui laman resminya FIFA menjelaskan keputusan diambil setelah Ketum PSSI Erick Thohir bertemu dengan Presiden FIFA Gianni Infantino FIFA juga tak menutup kemungkinan ada sanksi bagi Indonesia di masa mendatang,"['Indonesia', 'resmi', 'batal', 'jadi', 'tuan', 'rumah', 'Piala', 'Dunia', 'Melalui', 'laman', 'resminya', 'FIFA', 'menjelaskan', 'keputusan', 'diambil', 'setelah', 'Ketum', 'PSSI', 'Erick', 'Thohir', 'bertemu', 'dengan', 'Presiden', 'FIFA', 'Gianni', 'Infantino', 'FIFA', 'juga', 'tak', 'menutup', 'kemungkinan', 'ada', 'sanksi', 'bagi', 'Indonesia', 'di', 'masa', 'mendatang']",indonesia resmi batal jadi tuan rumah piala dunia melalui laman resminya fifa menjelaskan keputusan diambil setelah ketum pssi erick thohir bertemu dengan presiden fifa gianni infantino fifa juga tak menutup kemungkinan ada sanksi bagi indonesia di masa mendatang,"['indonesia', 'resmi', 'batal', 'jadi', 'tuan', 'rumah', 'piala', 'dunia', 'melalui', 'laman', 'resminya', 'fifa', 'menjelaskan', 'keputusan', 'diambil', 'setelah', 'ketum', 'pssi', 'erick', 'thohir', 'bertemu', 'dengan', 'presiden', 'fifa', 'gianni', 'infantino', 'fifa', 'juga', 'tidak', 'menutup', 'kemungkinan', 'ada', 'sanksi', 'bagi', 'indonesia', 'di', 'masa', 'mendatang']","['indonesia', 'resmi', 'batal', 'tuan', 'rumah', 'piala', 'dunia', 'laman', 'resminya', 'fifa', 'keputusan', 'diambil', 'ketum', 'pssi', 'erick', 'thohir', 'bertemu', 'presiden', 'fifa', 'gianni', 'infantino', 'fifa', 'menutup', 'sanksi', 'indonesia']",indonesia resmi batal tuan rumah piala dunia laman resminya fifa keputusan diambil ketum pssi erick thohir bertemu presiden fifa gianni infantino fifa menutup sanksi indonesia
harihafidz86,2023-03-29 15:25:33+00:00,"@Umar_Hasibuan__ 🚨🚨🚨

𝐁𝐑𝐄𝐀𝐊𝐈𝐍𝐆: Piala Dunia U-20 2023 telah resmi batal diadakan di Indonesia!

FIFA telah mengumumkan lewat website mereka, FIFA telah menghapus Indonesia sebagai tuan rumah.

Pamit undur diri 🙏💔",Piala Dunia  telah resmi batal diadakan di Indonesia FIFA telah mengumumkan lewat website mereka FIFA telah menghapus Indonesia sebagai tuan rumah Pamit undur diri,"['Piala', 'Dunia', 'telah', 'resmi', 'batal', 'diadakan', 'di', 'Indonesia', 'FIFA', 'telah', 'mengumumkan', 'lewat', 'website', 'mereka', 'FIFA', 'telah', 'menghapus', 'Indonesia', 'sebagai', 'tuan', 'rumah', 'Pamit', 'undur', 'diri']",piala dunia telah resmi batal diadakan di indonesia fifa telah mengumumkan lewat website mereka fifa telah menghapus indonesia sebagai tuan rumah pamit undur diri,"['piala', 'dunia', 'telah', 'resmi', 'batal', 'diadakan', 'di', 'indonesia', 'fifa', 'telah', 'mengumumkan', 'lewat', 'website', 'mereka', 'fifa', 'telah', 'menghapus', 'indonesia', 'sebagai', 'tuan', 'rumah', 'pamit', 'undur', 'diri']","['piala', 'dunia', 'resmi', 'batal', 'diadakan', 'indonesia', 'fifa', 'mengumumkan', 'website', 'fifa', 'menghapus', 'indonesia', 'tuan', 'rumah', 'pamit', 'undur']",piala dunia resmi batal diadakan indonesia fifa mengumumkan website fifa menghapus indonesia tuan rumah pamit undur
Yunus_portrait,2023-03-29 15:25:05+00:00,"https://t.co/vSUhYlaNLq

Indonesia dipastikan batal menjadi tuan rumah Piala Dunia U-20 2023. Keputusan tersebut diambil usai pertemuan FIFA dengan PSSI.

Israel Arteria PDIP",Indonesia dipastikan batal menjadi tuan rumah Piala Dunia  Keputusan tersebut diambil usai pertemuan FIFA dengan PSSI Israel Arteria PDIP,"['Indonesia', 'dipastikan', 'batal', 'menjadi', 'tuan', 'rumah', 'Piala', 'Dunia', 'Keputusan', 'tersebut', 'diambil', 'usai', 'pertemuan', 'FIFA', 'dengan', 'PSSI', 'Israel', 'Arteria', 'PDIP']",indonesia dipastikan batal menjadi tuan rumah piala dunia keputusan tersebut diambil usai pertemuan fifa dengan pssi israel arteria pdip,"['indonesia', 'dipastikan', 'batal', 'menjadi', 'tuan', 'rumah', 'piala', 'dunia', 'keputusan', 'tersebut', 'diambil', 'usai', 'pertemuan', 'fifa', 'dengan', 'pssi', 'israel', 'arteria', 'pdip']","['indonesia', 'batal', 'tuan', 'rumah', 'piala', 'dunia', 'keputusan', 'diambil', 'pertemuan', 'fifa', 'pssi', 'israel', 'arteria', 'pdip']",indonesia batal tuan rumah piala dunia keputusan diambil pertemuan fifa pssi israel arteria pdip
inilahdotcom,2023-03-29 15:25:04+00:00,"Indonesia dipastikan batal menggelar Piala Dunia U-20 2023, selepas FIFA memutuskan untuk mencoret Tanah Air sebagai tuan rumah penyelenggara kejuaraan sepak bola antar negara itu per hari ini Rabu (29/3/2023) malam. Keputusan resmi itu disampaikan… https://t.co/wntgOm9NuN",Indonesia dipastikan batal menggelar Piala Dunia  selepas FIFA memutuskan untuk mencoret Tanah Air sebagai tuan rumah penyelenggara kejuaraan sepak bola antar negara itu per hari ini Rabu    malam Keputusan resmi itu disampaikan,"['Indonesia', 'dipastikan', 'batal', 'menggelar', 'Piala', 'Dunia', 'selepas', 'FIFA', 'memutuskan', 'untuk', 'mencoret', 'Tanah', 'Air', 'sebagai', 'tuan', 'rumah', 'penyelenggara', 'kejuaraan', 'sepak', 'bola', 'antar', 'negara', 'itu', 'per', 'hari', 'ini', 'Rabu', 'malam', 'Keputusan', 'resmi', 'itu', 'disampaikan']",indonesia dipastikan batal menggelar piala dunia selepas fifa memutuskan untuk mencoret tanah air sebagai tuan rumah penyelenggara kejuaraan sepak bola antar negara itu per hari ini rabu malam keputusan resmi itu disampaikan,"['indonesia', 'dipastikan', 'batal', 'menggelar', 'piala', 'dunia', 'selepas', 'fifa', 'memutuskan', 'untuk', 'mencoret', 'tanah', 'air', 'sebagai', 'tuan', 'rumah', 'penyelenggara', 'kejuaraan', 'sepak', 'bola', 'antar', 'negara', 'itu', 'per', 'hari', 'ini', 'rabu', 'malam', 'keputusan', 'resmi', 'itu', 'disampaikan']","['indonesia', 'batal', 'menggelar', 'piala', 'dunia', 'selepas', 'fifa', 'memutuskan', 'mencoret', 'tanah', 'air', 'tuan', 'rumah', 'penyelenggara', 'kejuaraan', 'sepak', 'bola', 'negara', 'rabu', 'malam', 'keputusan', 'resmi']",indonesia batal menggelar piala dunia selepas fifa memutuskan mencoret tanah air tuan rumah penyelenggara kejuaraan sepak bola negara rabu malam keputusan resmi
